Code,Collection,Category,Name,Variant Name,Price,In Stock,URL,Image URL,Body
,Greens,Vegetables,Greens: Spinach (1/3 lb),Default Title,3.50,Yes,https://shop.solidground.farm/products/spinach-1-3-lb,https://cdn.shopify.com/s/files/1/0507/3213/8680/products/spinach.gif?v=1605129176,"<p>Fresh picked spinach, straight from the high tunnel. As over-wintered spinach, it has an extra delicious sweetness. In a 1/3 pound bag. <br></p>"
,Greens,Vegetables,Greens: Deluxe Salad Mix (5 oz bag),Default Title,5.50,Yes,https://shop.solidground.farm/products/deluxe-salad-mix-5-oz-bag,https://cdn.shopify.com/s/files/1/0507/3213/8680/products/Saladmix.jpg?v=1605128200,"<p>Salad mix made of eight types of baby lettuce, sunflower shoots, and pea shoots. In 5-oz bag.</p>"
,Greens,Vegetables,Greens: Curly Kale (bu),Default Title,4.00,Yes,https://shop.solidground.farm/products/curly-kale-bu,https://cdn.shopify.com/s/files/1/0507/3213/8680/products/curlykalepic.jpg?v=1605128160,"<p>Bunch of fresh curly kale – The essential hearty green! Our kale is sweet, on top of being a nutritional powerhouse.</p>"
,Greens,Vegetables,Greens: Rainbow Swiss Chard (bu),Default Title,4.00,Yes,https://shop.solidground.farm/products/rainbow-swiss-chard-bu,https://cdn.shopify.com/s/files/1/0507/3213/8680/products/rainbowswisschard.jpg?v=1605129251,"<p>Rainbow Swiss Chard is an earthy-flavored green, more delicate than kale. Use the stems as well as the greens in soups, frittatas, stir fry, and more!   <br></p>"
,Greens,Vegetables,Greens: Collard Greens (bu),Default Title,4.00,Yes,https://shop.solidground.farm/products/collard-greens-bu,https://cdn.shopify.com/s/files/1/0507/3213/8680/products/collardgreens.jpg?v=1605127957,"<p>Winter-harvested collard greens lend a sweet hearty flavor to any meal - broad, thick leaves with rich, dark green coloring.</p>"
,Greens,Vegetables,Greens: Red Russian Kale (bu),Default Title,4.00,No,https://shop.solidground.farm/products/red-russian-kale-bu,https://cdn.shopify.com/s/files/1/0507/3213/8680/products/redrussiankale.jpg?v=1605129401,"<p>The best winter kale - soft, tender leaves, beautiful green and lavender coloring.</p>"
,Greens,Vegetables,Mei Qing (Bok Choy),Default Title,3.50,Yes,https://shop.solidground.farm/products/bok-choy,https://cdn.shopify.com/s/files/1/0507/3213/8680/products/bokchoyimage.jpg?v=1668382642,"One large lead of delicious bok choy, perfect for sauteing!  M<span style=""color: #000000;"" data-mce-fragment=""1"" data-mce-style=""color: #000000;"">isty-green stems form a thick, heavy base with broad, oval, rich green leaves.</span>"
,Greens,Vegetables,Arugula,Default Title,5.50,No,https://shop.solidground.farm/products/arugula,https://cdn.shopify.com/s/files/1/0507/3213/8680/products/arugula.jpg?v=1620614105,<p>5 ounce bag of fresh-cut arugula - the perfect sharp flavor for your salad or wrap!</p>
,Greens,Vegetables,"Greens: Parsley, bunch",Default Title,3.00,Yes,https://shop.solidground.farm/products/greens-parsley-bunch,https://cdn.shopify.com/s/files/1/0507/3213/8680/products/parsleyimage.jpg?v=1668963073,"One bunch of fresh, flat-leave parsley."
,Greens,Vegetables,Cabbage: Napa Cabbage,2 lb,3.00,Yes,https://shop.solidground.farm/products/napa-cabbage-lb,https://cdn.shopify.com/s/files/1/0507/3213/8680/products/napacabbage.jpg?v=1605147047,<p>Hearty napa cabbages - note that the cabbages are $1.50 per pound (the same price as at farmers market). <br></p>
